Date,,^GSPC,^IXIC,^RUT
2013-08-08,^GSPC,5.352499503687006e-05,5.572926722258298e-05,6.079901099191957e-05
2013-08-08,^IXIC,5.572926722258298e-05,6.538094451625824e-05,6.687059034515509e-05
2013-08-08,^RUT,6.079901099191957e-05,6.687059034515509e-05,8.335945425036059e-05
2013-08-09,^GSPC,5.3600556115003286e-05,5.578885678140052e-05,6.083980943413656e-05
2013-08-09,^IXIC,5.578885678140052e-05,6.541305321799112e-05,6.688346130015315e-05
2013-08-09,^RUT,6.083980943413656e-05,6.688346130015315e-05,8.335644897470609e-05
2013-08-12,^GSPC,5.360729105214298e-05,5.577475200406497e-05,6.082567006094478e-05
2013-08-12,^IXIC,5.577475200406497e-05,6.542724000342106e-05,6.691213960488275e-05
2013-08-12,^RUT,6.082567006094478e-05,6.691213960488275e-05,8.338607652733691e-05
2013-08-13,^GSPC,5.3607032179283025e-05,5.579778580619242e-05,6.07735440919434e-05
2013-08-13,^IXIC,5.579778580619242e-05,6.546629624268057e-05,6.687378713513297e-05
2013-08-13,^RUT,6.07735440919434e-05,6.687378713513297e-05,8.336084271044998e-05
2013-08-14,^GSPC,5.374573013612114e-05,5.59061203993508e-05,6.087996814824536e-05
2013-08-14,^IXIC,5.59061203993508e-05,6.553593868969782e-05,6.692842733589572e-05
2013-08-14,^RUT,6.087996814824536e-05,6.692842733589572e-05,8.338831942308214e-05
2013-08-15,^GSPC,5.464970960410031e-05,5.698366262360173e-05,6.209297773458079e-05
2013-08-15,^IXIC,5.698366262360173e-05,6.677506616179449e-05,6.827149157391703e-05
2013-08-15,^RUT,6.209297773458079e-05,6.827149157391703e-05,8.478253565223561e-05
2013-08-16,^GSPC,5.4547538030827225e-05,5.676013628126605e-05,6.190305273582769e-05
2013-08-16,^IXIC,5.676013628126605e-05,6.640993957692623e-05,6.791171497366097e-05
2013-08-16,^RUT,6.190305273582769e-05,6.791171497366097e-05,8.44545581685274e-05
2013-08-19,^GSPC,5.471317365268715e-05,5.685777063999361e-05,6.217386336349052e-05
2013-08-19,^IXIC,5.685777063999361e-05,6.642673757991447e-05,6.800310461891804e-05
2013-08-19,^RUT,6.217386336349052e-05,6.800310461891804e-05,8.478305944084448e-05
2013-08-20,^GSPC,5.4752331245368036e-05,5.6934660317897475e-05,6.234243804810784e-05
2013-08-20,^IXIC,5.6934660317897475e-05,6.657677864421578e-05,6.833837940108384e-05
2013-08-20,^RUT,6.234243804810784e-05,6.833837940108384e-05,8.548943525847766e-05
2013-08-21,^GSPC,5.484898311493777e-05,5.6990944534603805e-05,6.250287804264321e-05
2013-08-21,^IXIC,5.6990944534603805e-05,6.66062904725342e-05,6.84442574793643e-05
2013-08-21,^RUT,6.250287804264321e-05,6.84442574793643e-05,8.57083028812704e-05
2013-08-22,^GSPC,5.5103557609683475e-05,5.731735691749537e-05,6.292226189212208e-05
2013-08-22,^IXIC,5.731735691749537e-05,6.700978102248743e-05,6.901086851826216e-05
2013-08-22,^RUT,6.292226189212208e-05,6.901086851826216e-05,8.634369727538474e-05
2013-08-23,^GSPC,5.4838070782923176e-05,5.711865415673912e-05,6.261400760710244e-05
